治療方法,対応ステージ（下限）,対応ステージ（上限）,基準的賭け Standard Gamble,時間的得失法 Time Trade Off,人間トレードオフ Person Trade Off,備考
FOLFIRINOX一次療法,Stage IA,Stage IV,"FOLFIRINOX一次療法は、膵臓がんの治療において延命効果が期待できる強力な化学療法です。治療効果を最大限に引き出す一方で、副作用も強く、患者さんのQOL（生活の質）に大きな影響を与える可能性があります。基準的賭けの考え方では、治療を受けることで延命できる確率と、その期間のQOL低下を天秤にかけます。例えば、FOLFIRINOXによって1年間延命できる可能性が50%あるとします。しかし、治療期間中は吐き気や倦怠感などの副作用に苦しみ、QOLが著しく低下するかもしれません。もし、完全に健康な状態で過ごせる1年と、FOLFIRINOXによる治療を受けながらQOLが低下した1年を比較した場合、どちらを選ぶかという選択肢を患者さんに提示します。患者さんが、QOLが低下しても延命を優先するのか、あるいは、副作用の少ない治療法を選び、QOLを維持することを優先するのかによって、治療選択は異なります。この基準的賭けを通じて、患者さん自身が治療のメリットとデメリットを理解し、後悔のない選択を支援することが重要になります。
","FOLFIRINOX一次療法は、膵臓がんに対して延命効果が期待できる強力な化学療法ですが、時間的得失法（TTO）の観点からは、そのメリットとデメリットを慎重に考慮する必要があります。この治療法は、病気の進行を遅らせ、生存期間を延長する可能性が高まる一方、副作用のリスクも伴います。具体的には、吐き気、食欲不振、倦怠感、神経障害などが起こりやすく、日常生活の質（QOL）を大きく損なう可能性があります。TTOでは、副作用によるQOL低下と、治療による生存期間延長という、相反する要素を比較検討します。例えば、副作用が強く、日常生活が著しく制限される状態が1年間続くよりも、副作用が比較的軽く、QOLをある程度維持しながら半年間生存する方が良いと考える方もいます。FOLFIRINOX一次療法を選択する際には、これらのトレードオフを理解し、医師と十分な相談を行い、患者自身の価値観や希望に基づいた意思決定を行うことが重要です。治療の選択は、単に生存期間を延ばすことだけではなく、その期間をどのように過ごしたいか、という視点からも検討されるべきです。
","FOLFIRINOX一次療法は、膵臓がん治療における強力な選択肢ですが、患者にとって「人間トレードオフ」の視点から慎重な検討が必要です。この治療法は延命効果が期待できる一方で、副作用のリスクも高く、QOL（生活の質）への影響が無視できません。例えば、吐き気、倦怠感、食欲不振などの副作用は、日常生活を著しく制限する可能性があります。そのため、治療効果（生存期間の延長）と副作用（QOLの低下）のバランスを患者自身の価値観に基づいて判断する必要があります。高齢であったり、他の基礎疾患を抱えている場合は、副作用のリスクがより高まるため、QOLを優先するか、積極的な治療を選択するかという難しい判断を迫られるでしょう。医師との十分な相談を通じて、患者本人が何を最も大切にしているかを明確にし、最適な治療方針を決定することが重要です。治療はあくまで手段であり、患者の幸福を最大化することが最終的な目標であることを忘れてはなりません。
",
Gem+nab-PTX一次療法,Stage IA,Stage IV,"Gem+nab-PTX一次療法は、膵臓がんに対する標準的な治療選択肢の一つです。治療効果を評価する際、患者さんがどれだけの負担を受け入れられるか、つまりリスク許容度を考慮することが重要になります。基準的賭け（Standard Gamble）は、このリスク許容度を数値化する手法です。具体的には、Gem+nab-PTX療法によって完全にがんが治る確率（p）と、治療による副作用で生活の質が著しく低下した状態で生きる確率（1-p）を提示し、どちらを選ぶか尋ねます。もし患者さんが、確率pがある程度高ければ治療を選ぶと答えた場合、そのpの値が患者さんのリスク許容度を示します。例えば、pが0.7であれば、70%の確率で完全に治るなら、30%の確率で副作用に苦しむリスクを許容できるという意味になります。このリスク許容度を考慮することで、Gem+nab-PTX療法が患者さんにとって最適な選択肢であるかをより深く検討し、患者さんの価値観に沿った意思決定支援が可能になります。
","Gem+nab-PTX一次療法は、膵臓がんに対する標準的な治療法の一つであり、ジェムシタビンとnab-パクリタキセルという2種類の抗がん剤を組み合わせたものです。この治療法の時間的得失法（Time Trade Off）を考える際、患者さんは、治療による延命効果と、その期間中に経験するであろう副作用や生活の質の低下を比較検討することになります。化学療法は、がん細胞の増殖を抑える一方で、吐き気、脱毛、倦怠感、末梢神経障害などの副作用を引き起こす可能性があります。これらの副作用は、日常生活に支障をきたし、患者さんのQOL（生活の質）を低下させる可能性があります。Gem+nab-PTX療法は、他の治療法と比較して生存期間の延長が期待できる反面、副作用の強さも考慮する必要があります。例えば、治療によって1年間の生存期間延長が見込めるとしても、その1年間が副作用によって苦痛に満ちたものであれば、患者さんは治療を受けないという選択をするかもしれません。逆に、副作用をある程度許容できる範囲であれば、生存期間の延長を優先するかもしれません。したがって、時間的得失法では、患者さんがどの程度の期間、どのようなQOLで生きたいのか、具体的な価値観に基づいて治療選択をすることが重要になります。医師は、患者さんの希望や価値観を丁寧に聞き取り、治療のメリットとデメリットを十分に説明し、患者さんが納得のいく意思決定を支援する必要があります。
","Gem+nab-PTX一次療法は、進行膵臓がんに対する化学療法の一つで、ジェムシタビン(Gem)とnab-パクリタキセル(nab-PTX)という2種類の抗がん剤を併用します。この治療法を選択する際には、期待される効果と副作用、そして患者さん自身の価値観や生活の質（QOL）を考慮した「人間トレードオフ」の視点が重要になります。Gem+nab-PTX療法は、他の治療法と比較して、腫瘍縮小効果や生存期間の延長が期待できる一方で、副作用として、骨髄抑制（白血球減少、貧血、血小板減少）、末梢神経障害（手足のしびれや痛み）、疲労感、吐き気、脱毛などが起こる可能性があります。これらの副作用は、日常生活に支障をきたし、QOLを低下させる可能性があります。したがって、治療の選択にあたっては、これらの副作用のリスクをどれだけ許容できるか、あるいは、治療による生存期間の延長という利益をどれだけ重視するかという、患者さん個人の価値観が大きく影響します。例えば、副作用を最小限に抑え、できる限り普段通りの生活を送りたいと考える患者さんにとっては、他の治療法や緩和ケアの方が適しているかもしれません。一方、積極的に治療に取り組み、少しでも長く生きることを最優先に考える患者さんにとっては、Gem+nab-PTX療法が適切な選択肢となる可能性があります。医師は、患者さんの状態や希望を丁寧に聞き取り、それぞれの治療法のメリットとデメリットを詳しく説明することで、患者さんが納得のいく治療選択をできるようサポートします。
",
S-1単剤（二次療法）,Stage IA,Stage IV,"膵臓がんに対するS-1単剤二次療法は、一次療法後に病勢が進行した場合に検討される治療選択肢の一つです。基準的賭けの観点から考えると、患者さんはS-1治療を受けることによる延命効果と、副作用のリスクという二つの選択肢に直面します。延命効果は、S-1が奏功すれば腫瘍の進行を遅らせ、症状を緩和し、QOLを改善する可能性があります。しかし、同時に副作用として、食欲不振、吐き気、手足症候群などが起こり、QOLを低下させるリスクも伴います。患者さんは、これらのリスクとベネフィットを比較検討し、どちらの選択肢が自身の価値観や希望に合致するかを判断する必要があります。医師は、患者さんの病状、体力、過去の治療歴などを考慮し、S-1治療の奏功可能性や副作用のリスクを詳しく説明することで、患者さんが合理的な意思決定を行えるようサポートします。基準的賭けにおける確率や効用は患者さんによって異なり、個々の状況に合わせた詳細な情報提供が重要となります。
","S-1単剤による二次療法は、膵臓がんが進行し一次療法が無効となった場合に考慮される治療選択肢です。時間的得失法（TTO）の観点からは、生存期間の延長と副作用による生活の質の低下という二つの側面を評価する必要があります。S-1単剤は、他の抗がん剤治療と比較して比較的副作用が少ないとされていますが、食欲不振、吐き気、手足症候群などの症状が現れる可能性があります。TTOでは、これらの副作用によって失われる生活の質を、得られる生存期間と比較検討します。例えば、「副作用がない状態で1年生きる」のと「副作用に苦しみながら1年半生きる」のどちらが良いかを患者自身が判断し、その価値観に基づいて治療選択を支援します。S-1単剤治療によって得られる生存期間の延長が、副作用による生活の質の低下を上回ると判断される場合に、TTOの観点からはS-1単剤治療が推奨されることになります。個々の患者の状態、価値観、希望する生活スタイルを総合的に考慮し、最も適切な治療法を選択することが重要です。
","膵臓がんの二次療法としてS-1単剤療法を選択する際、考慮すべきは「人間トレードオフ」の視点です。S-1は、副作用として食欲不振、吐き気、手足症候群などが現れる可能性があります。治療効果とこれらの副作用の間で、患者さん自身の価値観に基づいた判断が求められます。例えば、延命効果が期待できる一方で、QOL（生活の質）が大きく低下する場合、患者さんはどちらを優先したいのかを慎重に検討する必要があります。副作用を最小限に抑えながら、可能な限り日常生活を維持することを重視するのか、あるいは、多少の苦痛があっても、より高い延命効果を期待するのか、個々の患者さんの状況や希望によって最適な選択は異なります。S-1単剤療法は、他の治療法と比較して、通院頻度や経済的負担が少ない場合もあり、これらの要素も意思決定に影響を与えます。医師との十分な情報共有を通じて、自身の価値観に合った治療法を選択することが重要です。
",
放射線療法（緩和目的）,Stage IA,Stage IV,"膵臓がんに対する放射線療法（緩和目的）は、がんそのものを根治させるのではなく、痛みや吐き気といった症状を和らげ、患者さんの生活の質（QOL）を向上させることを目的とします。この治療を「基準的賭け」という考え方で捉えると、現在の苦痛な状態を100%の状態Aとし、放射線療法を受けた結果、症状が軽減しQOLが向上した状態B（例：痛みが和らぎ、食事ができる）になる確率と、放射線療法の副作用（例：倦怠感、皮膚炎）によって状態が悪化する状態Cになる確率を天秤にかけることになります。もし状態Bになる確率が高ければ、現在の苦痛な状態Aよりも、放射線療法を受ける価値があると判断されます。逆に、状態Cになる確率が高ければ、現在の状態Aを維持する方が良いという判断になります。この判断は、患者さん自身の症状の程度、副作用に対する許容度、そして何よりも「QOLをどれだけ重視するか」という価値観によって大きく左右されます。医師は、状態Bと状態Cになる確率をできる限り正確に伝え、患者さんが自分自身の価値観に基づいて最適な選択をできるようサポートします。
","放射線療法（緩和目的）は、膵臓がんによる痛みや消化不良などの症状を軽減し、生活の質（QOL）を改善するために行われます。時間的得失法（TTO）の観点では、放射線療法によって症状が緩和される期間と、治療に伴う副作用や通院時間という負担を比較検討します。例えば、放射線療法によって痛みが和らぎ、活動的な時間が数ヶ月伸びると期待される一方で、治療期間中に倦怠感や食欲不振などの副作用が生じ、通院に時間を費やす必要があります。患者さんにとって、症状緩和によるQOL向上と、副作用や治療に伴う負担のどちらを重視するかによって、治療選択は異なります。TTOでは、健康な状態で生きられる期間と、症状を抱えながら生きる期間をトレードオフで評価し、患者さんがより満足できる選択肢を見つけることを目指します。放射線療法を受けることで、残された時間をより快適に過ごせる可能性が高まる一方で、治療に伴う負担も考慮する必要があるのです。
","放射線療法（緩和目的）は、膵臓がんによる症状、例えば痛みや消化不良、食欲不振などを和らげることを主な目的とします。根治を目指す治療とは異なり、患者さんのQOL（生活の質）を向上させることを重視します。ここで「人間トレードオフ」の観点から考えると、放射線療法は、副作用のリスクと症状緩和の効果の間でバランスを取る行為と言えます。放射線は、がん細胞だけでなく周囲の正常な組織にも影響を与える可能性があり、吐き気、倦怠感、皮膚炎といった副作用を引き起こすことがあります。一方で、放射線照射によってがん細胞の増殖を抑制し、痛みや圧迫感を軽減することで、患者さんはより快適な生活を送れるようになる可能性があります。医師は、患者さんの全体的な健康状態、症状の程度、希望する生活の質などを総合的に評価し、放射線療法のメリットとデメリットを慎重に比較検討します。その上で、患者さんと十分な話し合いを行い、副作用のリスクを最小限に抑えつつ、最大の緩和効果を得られるよう、照射方法や線量を調整します。つまり、放射線療法（緩和目的）は、症状緩和という利益と副作用という損失を天秤にかけ、患者さんにとって最も望ましい状態を目指す、人間トレードオフの意思決定プロセスなのです。
",
緩和ケア,Stage IA,Stage IV,"緩和ケアは、膵臓がんの治療における重要な選択肢の一つです。延命治療とは異なり、痛みや吐き気などの苦痛な症状を和らげ、患者さんのQOL（生活の質）を向上させることを目的とします。基準的賭け（Standard Gamble）の観点から考えると、緩和ケアは、症状をコントロールすることで、ある程度の確率で苦痛のない状態を維持できる、という賭けと捉えられます。これは、積極的な延命治療を行ったとしても、副作用によってQOLが著しく低下する可能性と比較検討されるべきです。例えば、延命治療で生存期間が数ヶ月延びる可能性がある一方で、強い吐き気や痛みに苦しむ確率が高い場合、緩和ケアを選択することで、より穏やかで尊厳ある時間を過ごせる確率を高めることができます。患者さんにとって、どの程度症状が緩和されるか、そしてその状態がどれくらい続くのか、という不確実性を考慮しながら、自身の価値観に基づいて、どちらの賭けを選ぶかを決定することが重要になります。緩和ケアは、必ずしも治療を諦めることを意味するのではなく、残された時間を自分らしく生きるための積極的な選択肢と言えるでしょう。
","膵臓がんの緩和ケアは、時間的得失法（TTO）の観点から、単に寿命を延ばすことだけではなく、残された時間をいかに質の高いものにするかという視点を重視します。治療による延命効果と、副作用によるQOL低下のバランスを考慮し、患者自身の価値観に基づいて意思決定を支援します。例えば、積極的な抗がん剤治療が数ヶ月の延命をもたらす一方で、強い吐き気や倦怠感を引き起こし、日常生活を著しく損なう場合、患者は「症状緩和を優先し、QOLを維持しながら過ごせる時間を重視する」という選択をするかもしれません。これは、完全な健康状態ではないものの、苦痛の少ない状態で過ごせる期間を、より長く生きるよりも価値があると感じることを意味します。緩和ケアは、痛みやその他のつらい症状をコントロールし、精神的なサポートを提供することで、患者が自分らしく、満足のいく時間を過ごせるように支援します。TTOの考え方は、患者が自身の状況を深く理解し、後悔のない選択をするために重要な役割を果たします。
","膵臓がんの緩和ケアは、単に終末期医療ではなく、診断時から治療と並行して行われる、患者のQOL（生活の質）を維持・向上させるための包括的なケアです。「人間トレードオフ Person Trade Off」の観点から見ると、緩和ケアは、延命効果とQOLのバランス、つまり「どれだけ長く生きるか」と「どれだけ良く生きるか」のトレードオフを考慮した意思決定を支援する役割を担います。積極的な抗がん治療による副作用の苦痛を軽減し、痛みのコントロール、精神的なサポート、社会的な支援などを提供することで、患者が自身の価値観や希望に沿った生活を送れるよう支援します。これは、患者が限られた時間をどのように使いたいか、どのような状態でありたいかという個別のニーズに基づき、医療資源を最適に配分し、本人にとって最も価値のある選択を尊重するアプローチと言えます。緩和ケアは、積極的治療の効果が薄れてきた場合でも、患者が苦痛なく、尊厳を保ちながら人生の最終段階を過ごせるようサポートします。
",
免疫チェックポイント阻害薬,Stage III,Stage IV,"膵臓がんに対する免疫チェックポイント阻害薬は、患者自身の免疫力を利用してがん細胞を攻撃する治療法です。従来の抗がん剤とは異なり、免疫細胞のブレーキ役となる分子（免疫チェックポイント）を阻害することで、免疫細胞ががん細胞への攻撃力を高めるように作用します。しかし、膵臓がんにおいては、単独での効果は限定的であることがわかっています。ここで「基準的賭け」の観点から考えると、免疫チェックポイント阻害薬を選択するかどうかは、治療によって生存期間が延びる可能性と、重篤な副作用（自己免疫疾患など）が発生するリスクを比較検討する、一種の賭けのようなものです。もし治療が奏功すれば、QOLを維持しながら延命できるかもしれませんが、効果がない場合は副作用だけが残る可能性があります。患者の状態（体力、既往歴など）や、他の治療法との組み合わせ、そして何よりも患者自身がどれだけリスクを許容できるかによって、この賭けに値するかどうかの判断は大きく変わってきます。延命の可能性と副作用のリスクを天秤にかけ、ご自身の価値観に沿った選択をすることが重要です。
","膵臓がん治療における免疫チェックポイント阻害薬は、時間的得失法（Time Trade Off）の観点から、治療効果と副作用、そしてそれらが患者のQOLに与える影響を考慮する必要があります。免疫チェックポイント阻害薬は、免疫細胞ががん細胞を攻撃する力を高めることで、がんの進行を遅らせ、生存期間を延長する可能性があります。しかし、自己免疫反応を引き起こす可能性があり、重篤な副作用（肺炎、肝炎、腸炎など）を発症するリスクも伴います。患者は、治療によって得られるであろう生存期間の延長と、副作用によるQOLの低下を天秤にかける必要があります。例えば、治療によって1年間生存期間が延長する可能性がある一方で、日常生活に支障をきたすほどの強い副作用が半年間続く場合、患者は1年間の生存と引き換えに半年間のQOL低下を受け入れるかどうか判断することになります。免疫チェックポイント阻害薬の選択は、患者の年齢、全身状態、がんの進行度、そして何よりも患者自身の価値観や希望に基づいて慎重に決定されるべきであり、医師との十分な話し合いが不可欠です。
","膵臓がんに対する免疫チェックポイント阻害薬は、患者自身の免疫力を利用してがん細胞を攻撃する治療法ですが、その効果は全ての人に等しく現れるわけではありません。奏効する可能性のある患者層は限られており、事前にバイオマーカー検査などで効果を予測することが重要です。もし効果が期待できない場合、免疫チェックポイント阻害薬の投与は、副作用のリスクを考慮すると、他の治療選択肢と比較して「人間トレードオフ」の観点から慎重に検討すべきです。例えば、副作用によって生活の質が著しく低下するリスクと、延命効果が見込めない可能性を天秤にかける必要があります。一方で、奏効する可能性が高いと判断された場合、免疫チェックポイント阻害薬は、従来の抗がん剤治療と比較して、長期的な生存やQOLの改善に繋がる可能性があり、「人間トレードオフ」において、患者にとって価値のある選択肢となり得ます。重要なのは、個々の患者の状態、がんの進行度、他の治療選択肢、そして患者自身の希望を総合的に考慮し、医師と患者が十分に話し合った上で、最適な治療法を選択することです。
",判定不能（治験段階または対象限定）
抗PD-L1抗体＋TGF-β阻害薬,Stage III,Stage IV,"膵臓がんに対する「抗PD-L1抗体＋TGF-β阻害薬」併用療法を検討するにあたり、治療選択を「基準的賭け」として捉えてみましょう。この治療法を受けるか否かは、ある確率で完全な健康を取り戻せる可能性と、別の確率で治療による副作用や効果なしといった状態に留まる可能性との間で賭けを行う行為と見なせます。患者さんにとって、この併用療法がもたらす延命効果やQOLの改善が、副作用のリスクや治療に伴う負担を上回るかどうかが重要な判断基準となります。仮に、現在の状態が生存期間や生活の質において10段階評価で5だとします。治療を受けることで、8まで改善する確率が60%ある一方で、副作用によって3まで悪化する確率が40%だとしましょう。このリスクとベネフィットを天秤にかけ、患者さん自身がどちらをより重視するか、つまり、どの程度の確率で健康を取り戻せるなら治療を受けたいかを慎重に評価する必要があります。
","膵臓がんに対する「抗PD-L1抗体＋TGF-β阻害薬」併用療法は、時間的得失法（TTO）の観点から、治療による生存期間の延長と、副作用によるQOL低下のバランスを考慮して評価されるべきです。TTOでは、患者がより短い期間、健康な状態で生きることを選択するか、より長い期間、副作用を抱えながら生きることを選択するかを比較検討します。この併用療法は、免疫チェックポイント阻害薬である抗PD-L1抗体と、腫瘍微小環境を改善するTGF-β阻害薬を組み合わせることで、がん細胞への攻撃力を高め、生存期間の延長を目指します。しかし、免疫関連有害事象やその他の副作用のリスクも伴います。したがって、患者の年齢、全身状態、がんの進行度、そして最も重要な価値観に基づき、得られる生存期間の延長が、副作用によるQOL低下に見合うかどうかを慎重に検討する必要があります。患者が何を重視するか、例えば、痛みの少ない生活、自立した生活、または家族との時間を最大限に確保することなどを考慮し、TTOを通じて、患者にとって最適な治療選択を支援することが重要です。
","膵臓がん治療における抗PD-L1抗体とTGF-β阻害薬の併用は、免疫チェックポイント阻害薬による抗腫瘍効果を増強する可能性が期待される一方、人間トレードオフの視点からは慎重な検討が必要です。この治療法は、患者自身の免疫細胞を活性化することでがん細胞を攻撃するため、自己免疫反応のリスクが伴います。具体的には、既存の免疫チェックポイント阻害薬に加えてTGF-β阻害薬を使用することで、過剰な免疫反応を引き起こし、炎症性疾患や臓器障害などの副作用が発生する可能性があります。効果の程度と副作用のリスクは患者ごとに異なり、治療選択にあたっては、年齢、全身状態、合併症、過去の治療歴などを考慮し、QOL（生活の質）を含めた総合的な判断が求められます。つまり、がんの進行を抑制する可能性と、自己免疫反応による健康リスクとの間で、患者本人が納得できるトレードオフを選択する必要があるということです。医師は、患者に対してこれらの情報を十分に提供し、共に最適な治療戦略を検討する必要があります。
",判定不能（治験段階または対象限定）。
腹腔神経叢ブロック,Stage IIB,Stage IV,"膵臓がんの腹痛緩和に用いられる腹腔神経叢ブロックは、痛み止めの効果が期待できる一方、合併症のリスクも伴います。基準的賭けの観点から考えると、患者さんは、確実な現状の痛みに耐え続けるか、神経ブロックによって痛みが軽減する可能性にかけるかという選択を迫られます。神経ブロックが成功すれば痛みが大幅に軽減され生活の質が向上するかもしれませんが、神経損傷や血圧低下といった合併症が発生する可能性も否定できません。基準的賭けでは、患者さんがどの程度の痛みの軽減を、どの程度の合併症のリスクと引き換えにしたいかを明確にする必要があります。例えば、「痛みは半分になるかもしれないが、1%の確率で重大な合併症が起こる可能性がある」といったシナリオを提示し、患者さんがどの程度のリスクを許容できるのかを評価します。この評価に基づいて、神経ブロックが患者さんにとって最適な選択肢であるかどうかを判断します。
","腹腔神経叢ブロックは、膵臓がんによる腹痛緩和を目的とした治療法です。時間的得失法（TTO）で考えると、この治療は、痛みの軽減によって得られる生活の質（QOL）の向上と、治療に伴うリスクや一時的な不快感、そして効果持続期間という時間的要素とのトレードオフとして捉えられます。効果が期待できる場合、患者は、一時的な痛みや合併症のリスクを受け入れることで、その後の期間における痛みの少ない生活、活動性の向上、精神的な安定といった利益を得る可能性があります。しかし、効果が限定的な場合や合併症が発生した場合、患者は時間とQOLの両方を失うことになります。したがって、TTOの観点からは、患者の状態、痛みの程度、他の治療選択肢、そして患者自身の価値観に基づいて、腹腔神経叢ブロックがもたらすQOL向上と時間的損失を総合的に評価し、患者にとって最適な選択肢であるかを慎重に判断する必要があります。治療効果の持続期間も重要な要素であり、繰り返し治療が必要となる場合、その負担も考慮に入れる必要があります。
","腹腔神経叢ブロックは、膵臓がんの痛みを緩和する治療法の一つです。この治療法を選択する際、人間トレードオフの視点から、痛みの軽減というメリットと、副作用のリスクや治療に伴う負担というデメリットを考慮する必要があります。具体的には、痛みが日常生活に著しい支障をきたしている場合、ブロックによってQOL（生活の質）を改善できる可能性があります。一方で、神経ブロックには、低血圧、下痢、麻痺などの副作用が起こりうるリスクがあります。また、効果には個人差があり、一時的なものに終わる場合や、繰り返し治療が必要となる場合もあります。治療を受けるかどうかは、痛みの程度、全身状態、予想される効果、副作用のリスクなどを総合的に判断し、患者本人の価値観や希望に基づいて決定されるべきです。医師との十分な相談を通して、これらの情報を理解し、自身の状況に最適な選択をすることが重要です。
",判定不能（治験段階または対象限定）。Stage IIBであっても、腫瘍の位置や浸潤の程度によっては強い痛みが生じ、他の治療法との兼ね合いで検討される可能性はゼロではありませんが、より典型的なのはStage III以降です。
PARP阻害薬（BRCA変異）,Stage III,Stage IV,"膵臓がんにおいてBRCA遺伝子変異を持つ患者さんに対する治療選択肢の一つにPARP阻害薬があります。この治療を検討する上で「基準的賭け」という考え方は、患者さんが治療のリスクとベネフィットをどのように捉えているかを理解するのに役立ちます。具体的には、PARP阻害薬による治療で完全にがんが治癒する可能性（例えば、副作用は伴うものの、完全に健康な状態に戻る）と、治療をせずに病状が悪化していく可能性を比較します。PARP阻害薬には副作用のリスクがあり、効果も全ての人に等しく現れるわけではありません。そこで、「完全に健康な状態に戻る確率」と「病状が悪化していく確率」を天秤にかけ、どの程度のリスクであればPARP阻害薬による治療を選択したいかを数値化します。この数値が高いほど、患者さんはPARP阻害薬による治療に積極的であると考えられます。基準的賭けは、患者さんの価値観やリスク許容度を考慮し、最適な治療選択を支援するための重要な指標となります。副作用の種類や程度、治療期間、そして最も重要な「どれだけの確率で健康な状態に戻りたいか」を総合的に判断することで、患者さんにとって最善の選択肢を見つけることができます。
","PARP阻害薬は、BRCA遺伝子に変異を持つ膵臓がん患者さんにとって、重要な治療選択肢となりえます。時間的得失法（TTO）の観点からは、生存期間の延長と生活の質のバランスを考慮する必要があります。PARP阻害薬は、プラチナ製剤による化学療法後に病勢進行が認められない場合に維持療法として用いられ、無増悪生存期間（がんが進行しない期間）を延長する可能性があります。しかし、副作用のリスクも伴い、倦怠感、吐き気、貧血などが起こり、日常生活に影響を及ぼす可能性があります。TTOでは、例えば「副作用がない状態で1年間生きる」ことと、「副作用がある状態で1.5年間生きる」ことのどちらを選ぶかといったように、健康状態と生存期間を天秤にかけることで、患者さん自身の価値観に基づいた治療選択を支援します。PARP阻害薬の使用は、副作用による生活の質の低下と、得られるかもしれない生存期間の延長を比較検討し、患者さんの希望や価値観を尊重した上で決定されるべきです。
","PARP阻害薬は、BRCA遺伝子に変異を持つ膵臓がん患者さんにとって、有望な治療選択肢となり得ますが、その効果と副作用の間には「人間トレードオフ」が存在します。PARP阻害薬は、がん細胞のDNA修復機能を阻害することで、がん細胞の増殖を抑えます。BRCA変異を持つがんは、DNA修復能力がもともと低いため、PARP阻害薬の効果が出やすいと考えられています。しかし、PARP阻害薬は、副作用として、骨髄抑制（白血球減少、血小板減少、貧血）、吐き気、疲労感などを引き起こす可能性があります。これらの副作用は、患者さんのQOL（生活の質）を低下させる可能性があります。治療を選択する際には、PARP阻害薬による延命効果や病勢コントロールと、副作用によるQOL低下のバランスを考慮する必要があります。年齢、全身状態、既往歴、患者さんの価値観などを総合的に判断し、医師と十分に話し合った上で、最適な治療法を選択することが重要です。治療開始後も、副作用のモニタリングを行い、必要に応じて支持療法や減量、休薬などを検討することで、QOLを維持しながら治療を継続することが目指されます。
",判定不能（治験段階または対象限定）
KRAS G12C阻害薬,Stage IIB,Stage IV,"KRAS G12C阻害薬は、特定の遺伝子変異を持つ膵臓がん患者さんにとって、新たな治療の選択肢となる可能性があります。この治療法の導入を検討する際、基準的賭けという考え方が役立ちます。基準的賭けとは、ある治療を受けるか否かを、完全な健康状態と死亡という二つの状態への賭けとして捉えるものです。KRAS G12C阻害薬の効果には個人差があり、完全な寛解に至る可能性もあれば、副作用により生活の質が低下する可能性もあります。基準的賭けでは、この治療を受けることで、完全な健康状態を得られる確率と、副作用による苦痛や、治療が奏功しなかった場合の生存期間の短縮というリスクを、患者さん自身が評価します。そして、その評価に基づき、治療を受けない場合と比較して、どちらがより自分にとって望ましい結果となるかを判断します。この判断は、患者さんの年齢、体力、価値観、そして何よりも治療に対する希望に大きく左右されるため、医師との十分な相談が不可欠です。
","KRAS G12C阻害薬は、KRAS遺伝子の変異であるG12Cを持つ進行膵臓がん患者さんにとって、新しい治療の選択肢となる可能性があります。従来の抗がん剤治療に比べ、KRAS G12C阻害薬は、腫瘍縮小効果や病勢コントロールにおいて優れている可能性があり、これにより無増悪生存期間の延長、すなわち病気の進行を遅らせる効果が期待できます。しかし、一方で、この薬剤特有の副作用が現れる可能性も考慮する必要があります。時間的得失法（TTO）の観点からは、治療によって得られる生存期間の延長と、副作用による生活の質の低下を比較検討することが重要です。例えば、副作用が強く、日常生活に支障をきたす期間が長引く場合、生存期間が延長されても、患者さんの満足度は必ずしも高まらないかもしれません。逆に、副作用が比較的軽く、良好なQOLを維持しながら生存期間を延長できるのであれば、患者さんの治療満足度は高まる可能性があります。そのため、KRAS G12C阻害薬の治療選択においては、患者さんの病状、年齢、全身状態、そして生活における価値観などを総合的に考慮し、得られる利益と副作用のリスクを十分に比較検討することが不可欠です。
","KRAS G12C阻害薬は、KRAS遺伝子に変異を持つ一部の膵臓がん患者さんにとって、新たな治療の選択肢となり得る薬剤です。従来の治療法が奏功しにくい場合や、副作用が強い場合に、KRAS G12C阻害薬はがんの進行を遅らせ、症状を緩和する可能性があります。しかし、KRAS G12C阻害薬にも副作用のリスクは伴います。具体的には、下痢、吐き気、肝機能障害などが報告されており、これらの症状は患者さんのQOL（生活の質）を低下させる可能性があります。そのため、KRAS G12C阻害薬の使用を検討する際には、得られる可能性のある利益（がんの進行抑制、症状緩和）と、副作用のリスク（QOL低下）を比較検討する必要があります。この「人間トレードオフ」の視点から、患者さんの年齢、全身状態、既往歴、価値観、そして治療に対する希望を総合的に考慮し、最適な治療法を選択することが重要です。KRAS G12C阻害薬が、他の治療法と比較して、患者さんにとってより良い選択肢となるのか、慎重な判断が求められます。
",判定不能（治験段階または対象限定）。Stage IIIの一部、または切除不能なStage IIBに該当する場合もありますが、臨床試験では「進行性固形がん」「切除不能なまたは転移性のがん」と表現されることが多いです。
